                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.35804,                0.21381,                0.79911,                0.99871,                      1,                  0.995,                0.89953,                0.32519,                0.18763,                0.76596,              0.0009365,              0.0009365,              0.0009365
                     79,                0.36158,                0.21407,                0.79912,                0.99861,                      1,                  0.995,                0.89583,                0.32261,                0.19007,                0.76707,             0.00093238,             0.00093238,             0.00093238
                     80,                0.36813,                 0.2163,                0.79441,                0.99878,                      1,                  0.995,                0.90118,                0.31692,                0.17984,                0.76674,             0.00092825,             0.00092825,             0.00092825
                     81,                0.36236,                0.21296,                0.80022,                0.99857,                      1,                  0.995,                0.89558,                0.32775,                0.17889,                0.76637,             0.00092413,             0.00092413,             0.00092413
                     82,                 0.3686,                0.21582,                0.80107,                0.99889,                      1,                  0.995,                0.90807,                0.32309,                0.18631,                0.76644,                0.00092,                0.00092,                0.00092
                     83,                0.37446,                0.22091,                0.80403,                0.99854,                      1,                  0.995,                0.90083,                0.33561,                0.18246,                0.76722,             0.00091588,             0.00091588,             0.00091588
                     84,                0.35744,                0.21268,                0.79577,                0.99914,                      1,                  0.995,                0.89784,                0.32271,                0.18702,                 0.7639,             0.00091175,             0.00091175,             0.00091175
                     85,                0.36238,                0.21109,                0.79984,                0.99896,                      1,                  0.995,                0.88007,                 0.3495,                 0.1813,                0.76811,             0.00090763,             0.00090763,             0.00090763
                     86,                0.35803,                0.21044,                0.80132,                 0.9984,                      1,                  0.995,                0.89234,                0.33814,                0.18452,                0.76731,              0.0009035,              0.0009035,              0.0009035
                     87,                0.35712,                0.21218,                0.79587,                0.99836,                      1,                  0.995,                0.90559,                0.32298,                0.17996,                0.76523,             0.00089938,             0.00089938,             0.00089938
